Make,Model,Year,Km,Transmission,Fuel,Price
Kia,Soul,2015,"60,000",automatic,gas,"535,000"
Mitsubishi,Lancer EX Shark,2015,"90,000",automatic,gas,"388,000"
BMW,4 Series,2023,"1,000",automatic,Electric,"2,300,000"
Chery,Tiggo 3,2023,"1,980",automatic,gas,"515,000"
Tesla,Model Y,2023,100,automatic,Electric,"2,071,000"
Daewoo,Nubira 2,2007,"200,000",manual,gas,"140,000"
Byd,F3,2014,"520,552",manual,natural gas,"140,000"
Fiat,128,1989,0,manual,gas,"30,000"
Toyota,Corolla,2022,"16,000",automatic,gas,"825,000"
Renault,Clio,2003,"300,000",manual,gas,"120,000"
Lada,Granta,2022,30,manual,gas,"250,000"
Chevrolet,Optra,2022,"5,000",automatic,gas,"520,000"
Kia,Sportage,2015,"250,000",automatic,gas,"580,000"
Volkswagen,Jetta,2007,"150,000",automatic,gas,"320,000"
Mitsubishi,Lancer EX Shark,2015,"175,000",automatic,gas,"365,000"
Chevrolet,Aveo,2017,"230,000",automatic,gas,"235,000"
Kia,Rio,2015,"70,000",automatic,gas,"480,000"
Toyota,Corolla,2020,"49,000",automatic,gas,"725,000"
Chery,Arrizo 5,2023,"3,900",automatic,gas,"435,000"
Mitsubishi,Lancer EX Shark,2015,"140,000",automatic,gas,"355,000"
Speranza,A620,2007,"112,000",automatic,gas,"137,000"
Speranza,A516,2009,"165,000",manual,gas,"120,000"
Mercedes,200,1984,0,automatic,gas,"115,000"
Chevrolet,Spark,2008,"132,000",manual,gas,"115,000"
Chevrolet,Aveo,2011,"160,000",manual,gas,"177,000"
Chery,Tiggo 3,2017,0,automatic,gas,"330,000"
MG,Rx5,2020,"140,000",automatic,gas,"580,000"
Renault,Logan,2017,"90,000",manual,gas,"225,000"
Renault,Logan,2017,"215,000",manual,gas,"230,000"
Skoda,Octavia A4,2004,"117,000",automatic,gas,"220,000"
Hyundai,Elantra MD,2013,"140,000",automatic,gas,"330,000"
Mercedes,C 180,2016,"125,000",automatic,gas,"1,275,000"
Lada,Niva,1982,"90,000",manual,gas,"47,000"
Chevrolet,Optra,2021,"30,000",automatic,gas,"425,000"
BMW,320,2007,"149,000",automatic,gas,"350,000"
Toyota,Corolla,2019,"61,000",automatic,gas,"610,000"
Tesla,Model Y,2023,100,automatic,Electric,"2,054,000"
Tesla,Model 3,2023,100,automatic,Electric,"1,900,000"
Fiat,Tipo,2021,"30,000",automatic,gas,"590,000"
Peugeot,3008,2021,"2,900",automatic,gas,"1,580,000"
Seat,Ateca,2021,"43,000",automatic,gas,"1,200,000"
BMW,318,2018,"133,000",automatic,gas,"1,050,000"
Opel,Grandland,2021,"42,000",automatic,gas,"970,000"
Nissan,Sunny,2022,"60,000",automatic,gas,"388,000"
Nissan,Sunny,2015,"144,000",automatic,gas,"268,000"
Hyundai,Accent RB,2017,"120,000",automatic,gas,"315,000"
Alfa Romeo,146,1996,"220,000",manual,gas,"40,000"
Nissan,Sentra,2023,"14,000",automatic,gas,"630,000"
Daewoo,Nubira 2,2004,"200,000",automatic,gas,"145,000"
Zotye,Xplosion,2008,"265,000",manual,gas,"90,000"
Mazda,323,1982,0,manual,gas,"35,000"
Toyota,Avensis,2006,"320,000",manual,gas,"190,000"
Hyundai,Verna,2010,"500,000",manual,gas,"145,000"
Toyota,Corolla,2008,"220,000",automatic,gas,"315,000"
Chevrolet,Optra,2021,"115,000",automatic,gas,"385,000"
Kia,Soul,2009,"153,000",automatic,gas,"350,000"
Citroën,C5 Aircross,2021,"80,000",automatic,gas,0
Canghe || Changhe,ideal || Ideal,2010,"121,000",manual,gas,"63,000"
Daewoo,Nubira 1,1997,"245,000",automatic,gas,"95,000"
Chevrolet,Optra,2013,"120,000",automatic,gas,"249,000"
BMW,X3,2007,"205,000",automatic,gas,"450,000"
Nissan,Sunny,2018,"157,000",automatic,gas,"340,000"
Hyundai,Elantra AD,2020,"130,000",automatic,gas,"470,000"
Nissan,Sunny,2013,"145,000",automatic,gas,"300,000"
Chevrolet,Optra,2021,"175,000",automatic,gas,"370,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2018,"98,000",automatic,gas,"870,000"
Chevrolet,N300,2022,"105,000",manual,gas,"320,000"
Nissan,Sunny,2017,"130,000",automatic,gas,"310,000"
Nissan,Juke,2013,"118,000",automatic,gas,"385,000"
Suzuki,Vitara,2017,"78,000",automatic,gas,"560,000"
Hyundai,Verna,2010,"85,000",manual,natural gas,"160,000"
Hyundai,Accent,2006,"370,000",manual,gas,"95,000"
Jeep,Cherokee,2000,"198,000",manual,gas,"135,000"
Skoda,Octavia A4,2005,"185,000",manual,gas,"280,000"
Chevrolet,Equinox,2019,"190,000",automatic,gas,"630,000"
Hyundai,Accent HCI,2019,"220,000",automatic,gas,"430,000"
Mercedes,C 180,2019,"140,000",automatic,gas,"1,390,000"
Nissan,Sentra,2023,"7,500",automatic,gas,"595,000"
Seat,Ibiza,2023,1,automatic,gas,"880,000"
Hyundai,Tucson Turbo GDI || Tucson Turbo,2021,"80,000",automatic,gas,"875,000"
Hyundai,Tucson,2020,"80,000",automatic,gas,"987,000"
Toyota,Yaris,2021,"24,000",automatic,gas,"630,000"
Nissan,Pathfinder,2015,"138,000",automatic,gas,"1,000,000"
Byd,F3,2017,"194,000",manual,gas,"175,000"
MG,ZS,2020,"66,000",automatic,gas,"525,000"
Mitsubishi,Lancer Puma,2006,"230,000",automatic,gas,"230,000"
Nissan,Qashqai,2017,"101,000",automatic,gas,"555,000"
Hyundai,Elantra,2007,"240,000",automatic,gas,"310,000"
Fiat,Shahin,2007,0,manual,gas,"59,000"
Speranza,Tiggo,2014,"207,000",manual,gas,"260,000"
Chevrolet,N-Series,2005,"25,000",manual,diesel,"280,000"
Chevrolet,Optra,2008,"170,000",automatic,gas,"230,000"
Chevrolet,Lanos,2014,"207,000",automatic,gas,"160,000"
Hyundai,Verna,2007,0,manual,gas,"133,000"
Daewoo,Nubira 1,1997,"253,000",manual,gas,"95,000"
Chevrolet,Lanos,2014,"110,000",manual,gas,"165,000"
Nissan,Qashqai,2022,"6,000",automatic,gas,"1,050,000"
Mitsubishi,Lancer EX Shark,2016,"140,000",automatic,gas,"350,000"
Hyundai,Elantra,2009,"169,000",automatic,gas,"262,000"
Lifan,320,2012,"160,000",manual,gas,"115,000"
Hyundai,Elantra MD,2012,"280,000",automatic,gas,"290,000"
MG,6,2021,"42,000",automatic,gas,"625,000"
Chevrolet,Aveo,2016,"165,000",automatic,gas,"235,000"
Mitsubishi,Lancer Puma,2011,"130,000",automatic,gas,"325,000"
Chevrolet,Spark,2008,"200,000",manual,gas,"120,000"
Hyundai,Verna,2008,"270,000",manual,gas,"130,000"
Opel,Vectra,2008,"200,000",automatic,gas,"250,000"
Daewoo,Nubira 2,1999,0,manual,gas,"135,000"
Hyundai,Elantra CN7,2021,"48,000",automatic,gas,"575,000"
Mercedes,C 200 AMG,2022,"45,000",automatic,gas,"2,850,000"
Chevrolet,Optra,2012,"130,000",automatic,gas,"220,000"
Mercedes,GLK 350,2010,"200,000",automatic,gas,"750,000"
Great Wall,Wingle 5,2021,"55,000",manual,gas,"180,000"
Ford,Focus,2022,"12,000",automatic,gas,"680,000"
Suzuki,Van,2014,"248,000",manual,gas,"127,000"
Nissan,Sunny,2019,"95,000",automatic,gas,"310,000"
Hyundai,Elantra HD,2019,"60,000",automatic,gas,"460,000"
Nissan,Sunny,2020,"22,000",automatic,gas,"375,000"
Toyota,Rush,2020,"49,000",automatic,gas,"675,000"
Nissan,Sunny,2022,"29,000",automatic,gas,"438,000"
MG,5,2022,"6,000",automatic,gas,"580,000"
Mercedes,B 200,2013,"93,000",automatic,gas,"615,000"
Ford,Kuga,2017,"145,000",automatic,gas,"750,000"
Nissan,Sentra,2017,"156,000",automatic,gas,"337,000"
Volvo,S80,2016,"30,000",automatic,gas,"900,000"
Chery,Arrizo 5,2020,"72,000",manual,gas,"290,000"
BMW,316,2006,"200,000",manual,gas,"320,000"
Skoda,Kodiaq,2021,"9,000",automatic,gas,"1,620,000"
Toyota,Corolla,2009,"160,000",automatic,gas,"345,000"
Daewoo,Nubira 2,2008,"89,000",manual,gas,"150,000"
Renault,Duster,2020,"48,000",automatic,gas,"575,000"
Chevrolet,Aveo,2018,"75,000",automatic,gas,"220,000"
Chevrolet,Aveo,2009,"158,000",manual,gas,"148,000"
Chery,Tiggo 8,2021,"29,000",automatic,gas,"675,000"
Suzuki,Van,2016,"120,000",automatic,gas,"140,000"
Chevrolet,Lanos,2016,"160,000",manual,gas,"220,000"
Nissan,Sunny,2017,"150,000",automatic,gas,"295,000"
Chevrolet,N300,2013,"240,000",manual,gas,"140,000"
Chevrolet,Optra,2016,"160,000",automatic,gas,"267,000"
Fiat,Siena,2000,"180,000",manual,gas,"78,000"
Kia,Sportage,2019,"60,000",automatic,gas,"388,000"
Peugeot,508,2016,"100,000",automatic,gas,"570,000"
Suzuki,Van,2022,"20,000",manual,gas,"338,000"
Hyundai,Tucson GDI,2017,"85,000",automatic,gas,"765,000"
Peugeot,508,2020,"60,000",automatic,gas,"400,000"
Skoda,Octavia A8,2021,"80,000",automatic,gas,"870,000"
Renault,Sandero Step Way,2016,"90,000",automatic,gas,"335,000"
Renault,Logan,2022,"67,000",automatic,gas,"380,000"
Hyundai,Excel,1996,"267,000",manual,gas,"68,000"
Hyundai,Elantra HD,2019,"125,000",automatic,gas,"378,000"
Toyota,Yaris,2017,"98,000",automatic,gas,"400,000"
Kia,Shuma,2000,"150,000",manual,gas,"145,000"
Toyota,Rush,2020,"30,000",automatic,gas,0
Landwind,X7,2010,"14,000",manual,gas,"135,000"
Kia,Carens,2011,"177,000",automatic,gas,"258,000"
Tesla,Model Y,2023,100,automatic,Electric,"2,150,000"
Kia,Xceed,2022,"18,000",automatic,gas,"850,000"
Tesla,Model Y,2023,100,automatic,Electric,"2,530,000"
Tesla,Model 3,2023,100,automatic,Electric,"1,860,000"
Mitsubishi,Pajero,2014,"92,000",automatic,gas,"1,100,000"
Skoda,Octavia A7,2015,"180,000",automatic,gas,"520,000"
Kia,Sportage,2018,"75,000",automatic,gas,"850,000"
Toyota,Fortuner,2017,"78,000",automatic,gas,"1,295,000"
Peugeot,508,2022,"30,000",automatic,gas,"1,100,000"
Kia,Sportage,2020,"77,000",automatic,gas,"820,000"
Jeep,Cherokee,2012,"180,000",automatic,gas,"660,000"
Chevrolet,Captiva,2012,"250,000",automatic,gas,"400,000"
Mitsubishi,Lancer Crystala,1993,"120,000",manual,gas,"85,000"
Nissan,Sunny,2014,"250,000",automatic,gas,"230,000"
Daewoo,Lacetti,2005,"150,000",automatic,gas,0
Mazda,323,1978,0,manual,gas,"45,000"
Mercedes,S 500,2002,"185,000",automatic,gas,"750,000"
Nissan,Sunny,2022,60,automatic,gas,"450,000"
Fiat,Punto,2008,"99,000",manual,gas,"165,000"
Kia,Sportage,2015,"185,000",automatic,gas,"615,000"
Daewoo,Lanos,1999,"149,000",manual,gas,"115,000"
Hyundai,Elantra HD,2017,"187,000",automatic,gas,"375,000"
Kia,K3,2017,"75,000",automatic,gas,0
Toyota,Corolla,2009,"220,000",automatic,gas,"360,000"
DFSK,Glory,2019,"95,000",manual,gas,"290,000"
MG,Rx5,2019,"37,000",automatic,gas,"630,000"
Hyundai,Verna,2017,"121,000",manual,gas,"240,000"
Citroën,C Elysee,2020,"53,000",automatic,gas,"450,000"
Fiat,Tipo,2022,"19,700",automatic,gas,"610,000"
Fiat,127,1985,0,manual,gas,"15,000"
Hyundai,Accent,2002,0,manual,gas,"115,000"
Chevrolet,Aveo,2016,"10,810",automatic,gas,"335,000"
Volkswagen,Passat,2018,"152,000",automatic,gas,"950,000"
Volkswagen,Jetta,2008,"202,000",automatic,gas,"385,000"
Mercedes,200,1982,"150,000",manual,gas,"105,000"
Chevrolet,Lanos,2013,"102,000",manual,gas,"175,000"
Lada,Granta,2021,"10,500",automatic,gas,"200,000"
Geely,Emgrand 7,2015,"132,000",manual,gas,"175,000"
Peugeot,405,1993,"189,000",manual,gas,"75,000"
Jeep,Wrangler,2014,"149,000",automatic,gas,"920,000"
Skoda,Fantasia,2010,"285,000",automatic,gas,"450,000"
Renault,Fluence,2014,"181,000",automatic,gas,"330,000"
Fiat,Tipo,2020,"60,000",manual,gas,"350,000"
Toyota,Corolla,2021,"39,000",automatic,gas,"795,000"
Kia,Soul,2011,"170,000",automatic,gas,"325,000"
BMW,523,2000,"135,000",automatic,gas,"240,000"
Hyundai,Matrix,2005,"180,000",automatic,gas,"265,000"
MG,ZS,2019,"54,000",automatic,gas,"490,000"
Mercedes,C 180,2020,"58,000",automatic,gas,"1,650,000"
Opel,Grandland,2022,"29,000",automatic,gas,"1,150,000"
Mitsubishi,Lancer Puma,2008,"170,000",automatic,gas,"245,000"
Mitsubishi,Lancer Puma,2008,"230,000",automatic,gas,"245,000"
Peugeot,508,2022,"14,000",automatic,gas,"1,400,000"
Speranza,Tiggo,2009,"120,000",manual,gas,"200,000"
Nissan,Sunny,2015,"200,000",automatic,gas,"220,000"
Nissan,Qashqai,2013,"150,000",automatic,gas,"410,000"
Opel,Astra,2019,"142,000",automatic,gas,"410,000"
Nissan,Sunny,2016,"135,000",automatic,gas,"270,000"
Nissan,Tiida,2009,"190,000",automatic,gas,"135,000"
Peugeot,207 SW,2008,"247,000",automatic,gas,"200,000"
Chevrolet,Optra,2008,"167,000",automatic,gas,"220,000"
Kia,Picanto,2008,"240,000",automatic,gas,"225,000"
Toyota,Corolla,2020,"40,000",automatic,gas,"700,000"
BMW,218 i,2017,"167,000",automatic,gas,"650,000"
Hyundai,Matrix,2003,"185,000",automatic,gas,"260,000"
Peugeot,508,2020,"70,000",automatic,gas,"820,000"
Ford,Fiesta,1997,"165,000",automatic,gas,"60,000"
Chevrolet,Spark,2009,"142,000",manual,gas,"110,000"
Renault,Symbol,2010,"197,000",automatic,gas,"195,000"
Toyota,Corolla,2017,"165,000",automatic,gas,"550,000"
Chevrolet,Aveo,2010,"185,000",manual,gas,"120,000"
Chevrolet,Aveo,2012,"210,000",manual,gas,"9,999"
Kia,Cerato,2015,"138,000",automatic,gas,"480,000"
Fiat,Uno,1994,"91,000",manual,gas,"63,000"
Toyota,Corolla,2020,"47,000",automatic,gas,"845,000"
Hyundai,Elantra HD,2021,"106,000",automatic,gas,"450,000"
Byd,F3,2022,"50,000",automatic,gas,"330,000"
Byd,F3,2017,0,automatic,gas,"166,000"
Renault,Megane,2005,"172,000",automatic,gas,"150,000"
Skoda,Felicia,1997,"193,000",manual,gas,"60,000"
Fiat,Shahin,2002,"80,000",manual,gas,"65,000"
Skoda,Octavia A7,2020,"70,000",automatic,gas,"950,000"
Citroën,C5,2020,"145,000",automatic,gas,"820,000"
Volkswagen,Passat,2019,"90,000",automatic,gas,"110,000"
Nissan,Sunny,2022,"22,000",automatic,gas,"430,000"
BMW,116,2014,"230,000",automatic,gas,"480,000"
Opel,Corsa,2004,"327,000",manual,gas,"110,000"
Changan,CS 35,2017,"37,000",automatic,gas,"350,000"
Nissan,Sentra,2022,"32,000",automatic,gas,"598,000"
BMW,318,2002,"451,463",automatic,gas,"250,000"
Ford,EcoSport,2018,"85,000",automatic,gas,"480,000"
Peugeot,405,2007,"175,000",manual,gas,"75,000"
Nissan,Juke,2022,"10,000",automatic,gas,"830,000"
Fiat,Siena,2004,"120,000",manual,gas,"75,000"
Hyundai,Accent,2009,"238,000",manual,gas,"191,000"
Speranza,A516,2011,"140,000",manual,gas,"95,000"
Nissan,Sunny,2022,"101,000",manual,gas,"310,000"
Hyundai,Tucson GDI,2017,"98,000",automatic,gas,"780,000"
Hyundai,Elantra HD,2022,69,automatic,gas,"450,000"
Daewoo,Lacetti,2006,"200,000",automatic,gas,"280,000"
Suzuki,Carry,1981,0,manual,gas,"38,000"
Nissan,Qashqai,2017,"148,000",automatic,gas,"500,000"
Geely,Pandino,2015,"62,000",automatic,gas,"130,000"
Jeep,Grand Cherokee,2009,"150,000",automatic,gas,"650,000"
Toyota,Rush,2022,"11,000",automatic,gas,"840,000"
Mitsubishi,Lancer Crystala,1993,"290,000",manual,gas,"96,000"
Audi,A6,2020,"90,000",automatic,gas,"1,850,000"
Renault,Kadjar,2019,"20,000",automatic,gas,"750,000"
Hyundai,Verna,2012,"87,000",manual,gas,"170,000"
Nissan,Sunny,2022,"15,000",automatic,gas,"390,000"
Byd,F3,2022,"50,000",manual,natural gas,"320,000"
Chrysler,Town & Country,2008,"183,000",automatic,gas,"480,000"
Fiat,1100,1984,0,manual,gas,"22,000"
Daewoo,Leganza,1997,"300,000",manual,gas,"60,000"
Hyundai,Atos,2004,"133,000",manual,gas,"88,000"
Chevrolet,Lanos,2012,"230,000",manual,natural gas,"165,000"
Hyundai,Elantra HD,2021,"40,000",automatic,gas,1
Geely,Emgrand,2015,"142,000",manual,gas,"120,000"
Mitsubishi,Lancer Crystala,1998,"300,000",manual,gas,"118,000"
Volkswagen,Pointer,2005,"109,000",manual,gas,"85,000"
Renault,Megane,2005,"70,000",automatic,gas,"175,000"
Fiat,Tipo,2022,"40,000",automatic,gas,"585,000"
Peugeot,3008,2020,"43,000",automatic,gas,"1,125,000"
Skoda,Kamiq,2022,"22,000",automatic,gas,"980,000"
Opel,Vectra,2008,"175,000",automatic,gas,"250,000"
MG,ZS,2021,"25,000",automatic,gas,"575,000"
Chevrolet,Optra,2020,"50,000",automatic,gas,"395,000"
Renault,Duster,2017,"125,000",automatic,gas,"370,000"
MG,HS,2021,"30,000",automatic,gas,"795,000"
Ford,Kuga,2016,"120,000",automatic,gas,"575,000"
Daewoo,Lanos 2,2002,"400,000",manual,gas,"117,000"
Suzuki,Vitara,2008,"245,000",manual,gas,"175,000"
